2021-05-22 23:00:24,885 - classify.py[line:68] - INFO: Namespace(batch_size=64, dataset='IMDB', epoch=500, gpu=1, l2=0.0001, lr=0.0001, modelfilename='', modelname='TextCNN', modelnum=0, resultnum=131, seed=1, use_aug=0)
2021-05-22 23:00:38,706 - classify.py[line:134] - INFO: {'word_embedding_dimension': 300, 'Epoch1': 5, 'Epoch2': 500, 'dropout': 0.1, 'label_num': 2, 'learning_rate1': 1e-05, 'learning_rate2': 0.0001, 'batch_size': 64, 'cuda': 1, 'negSampleNum': 3, 'poSampleNum': 1, 'max_bound': 1, 'kernel_sizes': [3, 4, 5], 'hidden_size': 256, 'hidden_layers': 1, 'bidirectional': True}
2021-05-22 23:00:39,159 - classify.py[line:140] - INFO: before training: 0.499500036239624
2021-05-22 23:00:39,159 - classify.py[line:154] - INFO: ...start training...
2021-05-22 23:04:23,087 - classify.py[line:184] - INFO: Epoch 28, toal_loss 22.8606, aver loss 0.0100, train accuracy 0.8825, train auc 0.0000, test accuracy 0.8085, test auc 0.0000
2021-05-22 23:04:30,595 - classify.py[line:184] - INFO: Epoch 29, toal_loss 22.1709, aver loss 0.0094, train accuracy 0.8795, train auc 0.0000, test accuracy 0.7965, test auc 0.0000
2021-05-22 23:04:38,055 - classify.py[line:184] - INFO: Epoch 30, toal_loss 22.3804, aver loss 0.0091, train accuracy 0.8869, train auc 0.0000, test accuracy 0.7975, test auc 0.0000
2021-05-22 23:04:45,526 - classify.py[line:184] - INFO: Epoch 31, toal_loss 21.7254, aver loss 0.0086, train accuracy 0.8863, train auc 0.0000, test accuracy 0.7845, test auc 0.0000
2021-05-22 23:04:53,058 - classify.py[line:184] - INFO: Epoch 32, toal_loss 22.2384, aver loss 0.0085, train accuracy 0.8908, train auc 0.0000, test accuracy 0.8105, test auc 0.0000
2021-05-22 23:05:00,694 - classify.py[line:184] - INFO: Epoch 33, toal_loss 21.5235, aver loss 0.0080, train accuracy 0.8918, train auc 0.0000, test accuracy 0.7915, test auc 0.0000
2021-05-22 23:05:08,312 - classify.py[line:184] - INFO: Epoch 34, toal_loss 21.2016, aver loss 0.0077, train accuracy 0.8896, train auc 0.0000, test accuracy 0.8025, test auc 0.0000
2021-05-22 23:05:18,204 - classify.py[line:184] - INFO: Epoch 35, toal_loss 20.5728, aver loss 0.0072, train accuracy 0.8975, train auc 0.0000, test accuracy 0.7985, test auc 0.0000
2021-05-22 23:05:25,892 - classify.py[line:184] - INFO: Epoch 36, toal_loss 20.9020, aver loss 0.0072, train accuracy 0.8960, train auc 0.0000, test accuracy 0.8005, test auc 0.0000
2021-05-22 23:05:33,501 - classify.py[line:184] - INFO: Epoch 37, toal_loss 20.3893, aver loss 0.0068, train accuracy 0.9007, train auc 0.0000, test accuracy 0.8020, test auc 0.0000
2021-05-22 23:05:41,017 - classify.py[line:184] - INFO: Epoch 38, toal_loss 20.1076, aver loss 0.0065, train accuracy 0.8975, train auc 0.0000, test accuracy 0.7995, test auc 0.0000
2021-05-22 23:05:48,561 - classify.py[line:184] - INFO: Epoch 39, toal_loss 19.7401, aver loss 0.0062, train accuracy 0.9027, train auc 0.0000, test accuracy 0.7995, test auc 0.0000
2021-05-22 23:05:56,231 - classify.py[line:184] - INFO: Epoch 40, toal_loss 19.3123, aver loss 0.0060, train accuracy 0.9011, train auc 0.0000, test accuracy 0.8010, test auc 0.0000
2021-05-22 23:06:03,840 - classify.py[line:184] - INFO: Epoch 41, toal_loss 19.8109, aver loss 0.0060, train accuracy 0.9098, train auc 0.0000, test accuracy 0.7995, test auc 0.0000
2021-05-22 23:06:11,335 - classify.py[line:184] - INFO: Epoch 42, toal_loss 19.1427, aver loss 0.0056, train accuracy 0.9009, train auc 0.0000, test accuracy 0.8055, test auc 0.0000
2021-05-22 23:06:18,897 - classify.py[line:184] - INFO: Epoch 43, toal_loss 19.0997, aver loss 0.0055, train accuracy 0.9039, train auc 0.0000, test accuracy 0.8025, test auc 0.0000
2021-05-22 23:06:26,438 - classify.py[line:184] - INFO: Epoch 44, toal_loss 18.6885, aver loss 0.0053, train accuracy 0.9076, train auc 0.0000, test accuracy 0.7975, test auc 0.0000
2021-05-22 23:06:34,060 - classify.py[line:184] - INFO: Epoch 45, toal_loss 18.4846, aver loss 0.0051, train accuracy 0.9086, train auc 0.0000, test accuracy 0.8090, test auc 0.0000
2021-05-22 23:06:41,574 - classify.py[line:184] - INFO: Epoch 46, toal_loss 18.0583, aver loss 0.0049, train accuracy 0.9128, train auc 0.0000, test accuracy 0.7915, test auc 0.0000
2021-05-22 23:06:49,065 - classify.py[line:184] - INFO: Epoch 47, toal_loss 18.3301, aver loss 0.0048, train accuracy 0.9106, train auc 0.0000, test accuracy 0.8085, test auc 0.0000
2021-05-22 23:06:56,572 - classify.py[line:184] - INFO: Epoch 48, toal_loss 17.6363, aver loss 0.0046, train accuracy 0.9146, train auc 0.0000, test accuracy 0.7915, test auc 0.0000
2021-05-22 23:07:04,032 - classify.py[line:184] - INFO: Epoch 49, toal_loss 17.4043, aver loss 0.0044, train accuracy 0.9163, train auc 0.0000, test accuracy 0.7930, test auc 0.0000
2021-05-22 23:07:11,543 - classify.py[line:184] - INFO: Epoch 50, toal_loss 17.8186, aver loss 0.0044, train accuracy 0.9199, train auc 0.0000, test accuracy 0.7945, test auc 0.0000
2021-05-22 23:07:19,108 - classify.py[line:184] - INFO: Epoch 51, toal_loss 16.9980, aver loss 0.0041, train accuracy 0.9185, train auc 0.0000, test accuracy 0.7900, test auc 0.0000
2021-05-22 23:07:26,697 - classify.py[line:184] - INFO: Epoch 52, toal_loss 17.7700, aver loss 0.0042, train accuracy 0.9181, train auc 0.0000, test accuracy 0.7985, test auc 0.0000
2021-05-22 23:07:34,282 - classify.py[line:184] - INFO: Epoch 53, toal_loss 16.0829, aver loss 0.0038, train accuracy 0.9246, train auc 0.0000, test accuracy 0.7930, test auc 0.0000
2021-05-22 23:07:41,798 - classify.py[line:184] - INFO: Epoch 54, toal_loss 17.0197, aver loss 0.0039, train accuracy 0.9187, train auc 0.0000, test accuracy 0.8070, test auc 0.0000
2021-05-22 23:07:50,796 - classify.py[line:184] - INFO: Epoch 55, toal_loss 16.7079, aver loss 0.0038, train accuracy 0.9215, train auc 0.0000, test accuracy 0.7870, test auc 0.0000
2021-05-22 23:08:00,719 - classify.py[line:184] - INFO: Epoch 56, toal_loss 16.5589, aver loss 0.0037, train accuracy 0.9264, train auc 0.0000, test accuracy 0.8025, test auc 0.0000
2021-05-22 23:08:09,870 - classify.py[line:184] - INFO: Epoch 57, toal_loss 17.0190, aver loss 0.0037, train accuracy 0.9292, train auc 0.0000, test accuracy 0.7970, test auc 0.0000
2021-05-22 23:08:17,531 - classify.py[line:184] - INFO: Epoch 58, toal_loss 15.8737, aver loss 0.0034, train accuracy 0.9286, train auc 0.0000, test accuracy 0.7990, test auc 0.0000
2021-05-22 23:08:25,171 - classify.py[line:184] - INFO: Epoch 59, toal_loss 16.0125, aver loss 0.0034, train accuracy 0.9272, train auc 0.0000, test accuracy 0.8015, test auc 0.0000
2021-05-22 23:08:32,698 - classify.py[line:184] - INFO: Epoch 60, toal_loss 15.8969, aver loss 0.0033, train accuracy 0.9258, train auc 0.0000, test accuracy 0.7935, test auc 0.0000
2021-05-22 23:08:40,363 - classify.py[line:184] - INFO: Epoch 61, toal_loss 15.0971, aver loss 0.0031, train accuracy 0.9276, train auc 0.0000, test accuracy 0.8070, test auc 0.0000
2021-05-22 23:08:47,980 - classify.py[line:184] - INFO: Epoch 62, toal_loss 15.2441, aver loss 0.0031, train accuracy 0.9282, train auc 0.0000, test accuracy 0.7970, test auc 0.0000
2021-05-22 23:08:57,019 - classify.py[line:184] - INFO: Epoch 63, toal_loss 14.6799, aver loss 0.0029, train accuracy 0.9357, train auc 0.0000, test accuracy 0.8115, test auc 0.0000
2021-05-22 23:09:05,104 - classify.py[line:184] - INFO: Epoch 64, toal_loss 15.4991, aver loss 0.0030, train accuracy 0.9320, train auc 0.0000, test accuracy 0.8150, test auc 0.0000
2021-05-22 23:09:12,754 - classify.py[line:184] - INFO: Epoch 65, toal_loss 15.0746, aver loss 0.0029, train accuracy 0.9341, train auc 0.0000, test accuracy 0.8030, test auc 0.0000
2021-05-22 23:09:20,287 - classify.py[line:184] - INFO: Epoch 66, toal_loss 14.1876, aver loss 0.0027, train accuracy 0.9337, train auc 0.0000, test accuracy 0.8025, test auc 0.0000
2021-05-22 23:09:27,827 - classify.py[line:184] - INFO: Epoch 67, toal_loss 14.0288, aver loss 0.0026, train accuracy 0.9389, train auc 0.0000, test accuracy 0.8040, test auc 0.0000
2021-05-22 23:09:35,761 - classify.py[line:184] - INFO: Epoch 68, toal_loss 14.3092, aver loss 0.0026, train accuracy 0.9347, train auc 0.0000, test accuracy 0.8100, test auc 0.0000
2021-05-22 23:09:43,341 - classify.py[line:184] - INFO: Epoch 69, toal_loss 14.6007, aver loss 0.0026, train accuracy 0.9355, train auc 0.0000, test accuracy 0.8020, test auc 0.0000
2021-05-22 23:09:51,056 - classify.py[line:184] - INFO: Epoch 70, toal_loss 13.9449, aver loss 0.0025, train accuracy 0.9397, train auc 0.0000, test accuracy 0.8070, test auc 0.0000
2021-05-22 23:09:58,557 - classify.py[line:184] - INFO: Epoch 71, toal_loss 13.5369, aver loss 0.0024, train accuracy 0.9405, train auc 0.0000, test accuracy 0.8045, test auc 0.0000
2021-05-22 23:10:06,162 - classify.py[line:184] - INFO: Epoch 72, toal_loss 13.5523, aver loss 0.0023, train accuracy 0.9466, train auc 0.0000, test accuracy 0.8065, test auc 0.0000
2021-05-22 23:10:13,824 - classify.py[line:184] - INFO: Epoch 73, toal_loss 13.8453, aver loss 0.0024, train accuracy 0.9397, train auc 0.0000, test accuracy 0.8050, test auc 0.0000
2021-05-22 23:10:21,616 - classify.py[line:184] - INFO: Epoch 74, toal_loss 14.1247, aver loss 0.0024, train accuracy 0.9450, train auc 0.0000, test accuracy 0.8010, test auc 0.0000
2021-05-22 23:10:31,049 - classify.py[line:184] - INFO: Epoch 75, toal_loss 13.3866, aver loss 0.0022, train accuracy 0.9460, train auc 0.0000, test accuracy 0.8135, test auc 0.0000
2021-05-22 23:10:38,855 - classify.py[line:184] - INFO: Epoch 76, toal_loss 12.9031, aver loss 0.0021, train accuracy 0.9484, train auc 0.0000, test accuracy 0.8190, test auc 0.0000
2021-05-22 23:10:46,585 - classify.py[line:184] - INFO: Epoch 77, toal_loss 12.5675, aver loss 0.0020, train accuracy 0.9504, train auc 0.0000, test accuracy 0.8090, test auc 0.0000
